Abirillu	3
Adad	317
Alu	11
Amanki	7
Amurriqanu	4
Amurru	9
An	11
Anat-Baiti-ili	3
Annunitu	6
Anšar	13
Antu	14
Anu	229
Anunnaki	70
Anzu	104
Asakku	17
Asalluhi	60
Asaralimnuna	4
Asari	11
Aššur	1141
Atar-quruma	3
Atar-samayin	3
Aya	10
Baba	17
Baiti-ili	3
Banitu	3
Bel	375
Belet	20
Belet-Akkad	6
Belet-Arbail	7
Belet-Babili	4
Belet-balaṭi	12
Belet-ekalli	6
Belet-ili	46
Belet-Ninua	6
Belet-parṣi	9
Belet-ṣeri	4
Beltiya	15
Birdu	8
Bunene	3
Buru	3
Dagan	20
Damgalnunak	13
Damkina	9
Damu	6
Daya	3
Dikudmah	3
Dimme	3
Dimmea	3
Dumuzi	10
Dunga	3
Duranki	12
Ea	215
Egalkiba	3
Enbilulu	10
Enki	53
Enkidu	11
Enlil	387
Enmešara	5
Ennugi	3
Ereškigal	18
Erra	51
Erua	4
Gašanana	4
Gašanguedena	7
Gašankatešasiga	4
Gazbaba	3
Gibil	6
Gilgameš	15
Girra	16
Gubara	7
Gula	65
Haya	8
Humhum	6
Id	5
Igigi	67
Inanak	9
Išhara	5
Iškur	8
Ištar	598
Ištaran	4
Išum	15
Kakka	15
Kidmuru	7
Kippat-mati	3
Kittu	3
Kubaba	3
Kubu	10
Kugsud	4
Kulla	16
Kusibanda	4
Kusu	9
Lamaštu	5
Laṣ	23
Lisikutu	5
Lugal-Maradak	3
Lugalbanda	6
Lugalira	4
Lumha	3
Madanu	13
Mami	7
Mamu	4
Manungal	6
Manzat	11
Mar-biti	6
Marduk	1049
Martu	7
Meslamtaea	3
Mullissu	128
Muluhursaŋa	3
Mummu	8
Muzebašeʾa	7
Nabu	988
Namma	9
Namraṣit	5
Namtar	32
Nanaya	48
Nanna	17
Nanše	5
Nergal	192
Ninagal	10
Ninegalak	5
Ningal	66
Ninigizibara	3
Ninildum	3
Ninimma	3
Ninki	6
Ninkura	7
Ninlil	22
Ninmah	18
Ninŋešzidak	4
Ninŋirsuk	8
Ninnibruk	3
Ninšiku	10
Nintinuga	4
Ninurta	207
Nisaba	28
Niššiku	17
Nudimmud	20
Nuhaya	3
Nunamnir	3
Nusku	75
Palil	12
Panunanki	8
Papsukkal	15
Qingu	8
Ruldawu	3
Sadarnuna	3
Šala	14
Šamaš	1039
Šara	6
Šarrat-niphi	4
Šarrat-Nippur	4
Šarrat-samme	5
Šarur	17
Šazu	5
Sebettu	33
Šeruʾa	20
Sin	1541
Suen	7
Šulak	6
Šulpae	4
Sumuqan	5
Tašmetu	80
Tiamat	48
Tišpak	8
Tutu	6
Uraš	34
Uṣur-amassu	4
Utu	20
Zababa	24
Zarpanitu	100
Ziqiqu	4
