Source	Target	Weight
Abirillu	Atar-quruma	0.9999999999999976
Abirillu	Aššur	0.0011685655857435
Adad	Šala	0.0324470482199188
Adad	Buru	0.0094637223974763
Adad	Erra	0.0089070328446836
Adad	Belet-ili	0.0082979015224249
Adad	Nergal	0.0079521556256572
Adad	Ištar	0.0064621292847874
Adad	Lumha	0.0042060988433228
Adad	Dunga	0.0042060988433228
Adad	Kippat-mati	0.0042060988433228
Adad	Adad	0.0028759366696852
Adad	Marduk	0.0025290723025985
Adad	Tišpak	0.0015772870662461
Adad	Ninŋirsuk	0.0015772870662461
Adad	Haya	0.0015772870662461
Adad	Sebettu	0.0015294904884810
Adad	Uraš	0.0014845054741139
Adad	Šeruʾa	0.0014195583596214
Adad	Kusu	0.0014020329477743
Adad	Ninurta	0.0012343985735839
Adad	Zababa	0.0011829652996845
Adad	Nabu	0.0011526328561029
Adad	Palil	0.0010515247108307
Adad	Tašmetu	0.0009858044164038
Adad	Zarpanitu	0.0007886435331230
Adad	Ea	0.0007189494534517
Adad	Nusku	0.0006729758149317
Adad	Šamaš	0.0005950880942911
Adad	Sin	0.0004605964826805
Adad	Tiamat	0.0002628811777077
Adad	Gula	0.0001941276389226
Adad	Aššur	0.0001354725087573
Adad	Anzu	0.0001213297743266
Adad	Mullissu	0.0000985804416404
Adad	Bel	0.0000757097791798
Adad	Anu	0.0000551017315719
Amanki	Damgalnunak	0.1758241758241758
An	Anu	0.0063517268757443
An	Šamaš	0.0003499868754922
Anat-Baiti-ili	Kubaba	0.4444444444444445
Annunitu	Gibil	0.1111111111111111
Annunitu	Anu	0.0029112081513828
Annunitu	Enlil	0.0017226528854436
Annunitu	Marduk	0.0006355258976803
Antu	Kippat-mati	0.0952380952380953
Antu	Šala	0.0816326530612245
Antu	Damkina	0.0317460317460317
Antu	Enlil	0.0118124769287560
Antu	Mullissu	0.0089285714285714
Antu	Belet-ili	0.0062111801242236
Antu	Gula	0.0043956043956044
Antu	Adad	0.0036052275799910
Antu	Ištar	0.0029861442904921
Antu	Ea	0.0013289036544850
Anu	Enlil	0.0740327003148170
Anu	Antu	0.0611353711790395
Anu	Asakku	0.0503467762650912
Anu	Ea	0.0375545851528384
Anu	Dagan	0.0314410480349344
Anu	Belet-ili	0.0114866147712170
Anu	Adad	0.0107999393880953
Anu	Anu	0.0100875269350317
Anu	Kippat-mati	0.0058224163027656
Anu	Šala	0.0049906425452277
Anu	Namtar	0.0049126637554585
Anu	Damkina	0.0043668122270742
Anu	Niššiku	0.0041099409195993
Anu	Nergal	0.0038437045123726
Anu	Ištar	0.0035343430065283
Anu	Anunnaki	0.0030567685589520
Anu	Igigi	0.0023463468682787
Anu	Haya	0.0021834061135371
Anu	Namma	0.0019408054342552
Anu	Šamaš	0.0018534785294896
Anu	Sin	0.0014990549436225
Anu	Ninmah	0.0009704027171276
Anu	Mullissu	0.0008528930131004
Anu	Gula	0.0006046355391334
Anu	Sebettu	0.0005293105729787
Anu	Ninurta	0.0005273927810476
Anu	Uraš	0.0005137426149499
Anu	Marduk	0.0005037028403012
Anu	Erra	0.0003424950766333
Anu	Nabu	0.0002165726711808
Anu	Anzu	0.0001679543164259
Anu	Bel	0.0001048034934498
Anu	Aššur	0.0000956794966493
Anunnaki	Anunnaki	0.0100000000000000
Anunnaki	An	0.0051948051948052
Anunnaki	Nusku	0.0047619047619048
Anunnaki	Anu	0.0039925140361822
Anunnaki	Nergal	0.0036458333333333
Anunnaki	Igigi	0.0019189765458422
Anunnaki	Enlil	0.0018087855297158
Anunnaki	Ea	0.0005980066445183
Anunnaki	Bel	0.0001523809523810
Anzu	Duranki	0.0649038461538460
Anzu	Anzu	0.0489090236686391
Anzu	Šarur	0.0050904977375565
Anzu	Ninurta	0.0037625418060201
Anzu	Niššiku	0.0022624434389140
Anzu	Dagan	0.0019230769230769
Anzu	Igigi	0.0005740528128588
Anzu	Ea	0.0004025044722719
Anšar	Tiamat	0.0064102564102564
Anšar	Asalluhi	0.0051282051282051
Asakku	Asakku	0.7785467128027687
Asakku	Anu	0.0657590547135885
Asakku	Marduk	0.0005046823305108
Asalluhi	Panunanki	0.0520833333333334
Asalluhi	Kugsud	0.0166666666666667
Asalluhi	Tutu	0.0111111111111111
Asalluhi	Manungal	0.0111111111111111
Asalluhi	Enki	0.0078616352201258
Asalluhi	Kusu	0.0074074074074074
Asalluhi	Asalluhi	0.0069444444444445
Asalluhi	Marduk	0.0022878932316492
Asalluhi	Sebettu	0.0020202020202020
Asalluhi	Belet-ili	0.0014492753623188
Asalluhi	Ea	0.0006976744186046
Asalluhi	Enlil	0.0003875968992248
Asalluhi	Anu	0.0002911208151383
Asalluhi	Šamaš	0.0000641642605069
Asaralimnuna	Ea	0.0046511627906977
Asaralimnuna	Anu	0.0043668122270742
Asaralimnuna	Enlil	0.0025839793281654
Asaralimnuna	Marduk	0.0009532888465205
Asari	Tutu	0.0606060606060606
Asari	Asalluhi	0.0060606060606061
Asari	Marduk	0.0021665655602739
Atar-quruma	Aššur	0.0011685655857435
Atar-samayin	Daya	0.9999999999999976
Atar-samayin	Nuhaya	0.9999999999999976
Atar-samayin	Ruldawu	0.9999999999999976
Atar-samayin	Abirillu	0.9999999999999976
Atar-samayin	Atar-quruma	0.9999999999999976
Aya	Kippat-mati	0.2999999999999990
Aya	Šala	0.1785714285714288
Aya	Antu	0.1142857142857142
Aya	Belet-ili	0.0086956521739130
Aya	Adad	0.0078864353312303
Aya	Anu	0.0069868995633188
Aya	Zarpanitu	0.0040000000000000
Aya	Ištar	0.0015050167224080
Aya	Enlil	0.0010335917312662
Aššur	Ištar	0.0598020277934922
Aššur	Šamaš	0.0371995252632015
Aššur	Bel	0.0325422144317851
Aššur	Nabu	0.0247394678295550
Aššur	Mullissu	0.0246494303242770
Aššur	Nergal	0.0123429739994157
Aššur	Sin	0.0097601009167477
Aššur	Adad	0.0066381529291092
Aššur	Enlil	0.0061236460152140
Aššur	Marduk	0.0058951850140654
Aššur	Anu	0.0058211405761437
Aššur	Aššur	0.0054198502013625
Aššur	Tašmetu	0.0048312883435583
Aššur	Šeruʾa	0.0043821209465381
Aššur	Zarpanitu	0.0042418930762489
Aššur	Ninurta	0.0020492237083328
Aššur	Antu	0.0015650431951922
Aššur	Tiamat	0.0014789658194566
Aššur	Aya	0.0014022787028922
Aššur	Belet-ili	0.0012193727851237
Aššur	Igigi	0.0008371813151595
Aššur	Dagan	0.0007011393514461
Aššur	Palil	0.0006573181419807
Aššur	Ningal	0.0006506785647890
Aššur	Anunnaki	0.0004507324402153
Aššur	Ea	0.0004076391578175
Aššur	Gula	0.0003370862266568
Aššur	Uraš	0.0001031087281538
Aššur	Nusku	0.0000467426234297
Baba	Ninŋirsuk	0.0294117647058824
Baba	Nergal	0.0027573529411765
Baiti-ili	Anat-Baiti-ili	0.9999999999999976
Baiti-ili	Kubaba	0.4444444444444445
Bel	Nabu	0.1796599190283401
Bel	Ištar	0.0510546265328874
Bel	Beltiya	0.0348444444444445
Bel	Nergal	0.0160555555555556
Bel	Zarpanitu	0.0129066666666667
Bel	Tašmetu	0.0096333333333333
Bel	Laṣ	0.0028985507246377
Bel	Belet-Babili	0.0026666666666667
Bel	Belet-balaṭi	0.0020000000000000
Bel	Šamaš	0.0016041065126724
Bel	Belet	0.0012000000000000
Bel	Bel	0.0007111111111111
Bel	Marduk	0.0003660629170639
Bel	Nanaya	0.0002222222222222
Bel	Sin	0.0002093878433917
Bel	Ea	0.0001984496124031
Bel	Mullissu	0.0001875000000000
Bel	Nusku	0.0001422222222222
Bel	Ninurta	0.0001159420289855
Bel	Adad	0.0000336487907466
Bel	Enlil	0.0000275624461671
Belet	Nanaya	0.0093750000000000
Belet	Tašmetu	0.0056250000000000
Belet	Ištar	0.0040969899665552
Belet	Nabu	0.0004554655870445
Belet-Babili	Madanu	0.0769230769230769
Belet-Babili	Ea	0.0046511627906977
Belet-Babili	Ištar	0.0016722408026756
Belet-ili	Lumha	0.0652173913043476
Belet-ili	Dunga	0.0652173913043476
Belet-ili	Egalkiba	0.0652173913043476
Belet-ili	Kusu	0.0603864734299518
Belet-ili	Haya	0.0434782608695652
Belet-ili	Kakka	0.0130434782608695
Belet-ili	Ištar	0.0017812999854588
Belet-ili	Aššur	0.0001714742979080
Beltiya	Belet-Babili	0.0666666666666666
Beltiya	Tašmetu	0.0075000000000000
Beltiya	Ištar	0.0017837235228540
Beltiya	Nabu	0.0006072874493927
Birdu	Birdu	0.3906250000000006
Birdu	Ninurta	0.0054347826086956
Birdu	Enlil	0.0012919896640827
Dagan	Niššiku	0.0264705882352940
Dagan	Igigi	0.0029850746268657
Damgalnunak	Panunanki	0.3461538461538464
Damgalnunak	Asalluhi	0.1038461538461537
Damgalnunak	Damkina	0.0341880341880342
Damgalnunak	Enki	0.0130624092888243
Damkina	Šala	0.0317460317460317
Damkina	Adad	0.0014020329477743
Damkina	Marduk	0.0004236839317869
Damkina	Sin	0.0002884130074266
Damu	Damu	0.1111111111111111
Daya	Nuhaya	0.9999999999999976
Daya	Ruldawu	0.9999999999999976
Daya	Abirillu	0.9999999999999976
Daya	Atar-quruma	0.9999999999999976
Dikudmah	Anunnaki	0.0190476190476191
Dimme	Dimmea	0.9999999999999976
Dimme	Lamaštu	0.5999999999999980
Dimmea	Lamaštu	0.5999999999999980
Dunga	Egalkiba	0.9999999999999976
Duranki	Ea	0.0034883720930232
Duranki	Anzu	0.0032051282051282
Ea	Damkina	0.0330749354005168
Ea	Niššiku	0.0273597811217511
Ea	Asalluhi	0.0131007751937984
Ea	Enki	0.0087757788503730
Ea	Sebettu	0.0069062720225511
Ea	Belet-ili	0.0064711830131446
Ea	Ea	0.0062520281233099
Ea	Ištaran	0.0046511627906977
Ea	Asaralimnuna	0.0046511627906977
Ea	Nanše	0.0037209302325581
Ea	Madanu	0.0032200357781753
Ea	Ninki	0.0031007751937984
Ea	Adad	0.0028757978138068
Ea	Namtar	0.0023255813953488
Ea	Šamaš	0.0021666629361864
Ea	Namma	0.0020671834625323
Ea	Kusu	0.0020671834625323
Ea	Enbilulu	0.0018604651162791
Ea	Ninurta	0.0018200202224469
Ea	Sin	0.0017385267796508
Ea	An	0.0016913319238901
Ea	Anzu	0.0016100178890877
Ea	Nergal	0.0015503875968992
Ea	Nisaba	0.0014950166112957
Ea	Marduk	0.0014365841221983
Ea	Damgalnunak	0.0014311270125224
Ea	Šala	0.0013289036544850
Ea	Uraš	0.0012311901504788
Ea	Ninmah	0.0010335917312662
Ea	Nudimmud	0.0009302325581395
Ea	Šeruʾa	0.0009302325581395
Ea	Enlil	0.0007691845441981
Ea	Ištar	0.0006300070000778
Ea	Anu	0.0005077688636133
Ea	Nabu	0.0003012898973731
Ea	Nusku	0.0002480620155039
Ea	Zarpanitu	0.0001860465116279
Ea	Mullissu	0.0001453488372093
Ea	Aššur	0.0000163055663127
Enki	Ninki	0.3144654088050317
Enki	Damgalnunak	0.0711175616835996
Enki	Ea	0.0387011847301448
Enki	Enki	0.0355998576005696
Enki	Kugsud	0.0188679245283019
Enki	Asari	0.0154373927958833
Enki	Damkina	0.0083857442348008
Enki	Asalluhi	0.0050314465408805
Enki	Ninlil	0.0034305317324185
Enki	Šamaš	0.0000726387854795
Enkidu	Šamaš	0.0003499868754922
Enlil	Ea	0.0350459707950243
Enlil	Nusku	0.0198449612403100
Enlil	Ninurta	0.0161779575328615
Enlil	Enlil	0.0147493807129647
Enlil	Aššur	0.0117400077451440
Enlil	Birdu	0.0051679586563307
Enlil	Kippat-mati	0.0034453057708872
Enlil	Adad	0.0032605417390099
Enlil	Dagan	0.0032299741602067
Enlil	Damkina	0.0025839793281654
Enlil	Anunnaki	0.0023624953857512
Enlil	Anu	0.0019069541766810
Enlil	Ištar	0.0019055767286303
Enlil	Marduk	0.0017957301527479
Enlil	Šamaš	0.0016812031047544
Enlil	Šala	0.0016611295681063
Enlil	Mullissu	0.0016351744186046
Enlil	Nergal	0.0013458225667528
Enlil	Namma	0.0011484352569624
