[Node list of texts and gods attested in them. This data was used for creating networks with full texts.]
Text	God
blms/P238386	Enlil
blms/P238386	Nergal
blms/P238386	Belet-ili
blms/P238386	Šamaš
blms/P238386	Anunnaki
blms/P238404	Enki
blms/P238404	Ninki
blms/P238404	Ninlil
blms/P238404	Nusku
blms/P238467	Utu
blms/P238467	Ningal
blms/P238467	Anunnaki
blms/P238821	Asalluhi
blms/P238821	Enbilulu
blms/P239053	Gubara
blms/P239053	Gašanguedena
blms/P239053	Amanki
blms/P239053	Damgalnunak
blms/P239053	Panunanki
blms/P239053	Muzebašeʾa
blms/P240165	Enki
blms/P240165	Asari
blms/P338471	Enlil
blms/P338471	Nusku
blms/P338471	Anšar
blms/P338471	Ninlil
blms/P338471	Anunnaki
blms/P338475	Marduk
blms/P338475	Nabu
blms/P338475	Šamaš
blms/P338475	Sin
blms/P338487	Enki
blms/P338487	Damgalnunak
blms/P338487	Asalluhi
blms/P338487	Ea
blms/P338489	Damgalnunak
blms/P338489	Asalluhi
blms/P338490	Enki
blms/P338490	Damgalnunak
blms/P338490	Asalluhi
blms/P338490	Ea
blms/P338516	Namraṣit
blms/P338516	Ningal
blms/P338516	Šamaš
blms/P338516	Anunnaki
blms/P345478	Lugalbanda
blms/P345478	Anzu
blms/P357088	Anu
blms/P357088	Ninurta
blms/P357088	Enlil
blms/P357088	Anunnaki
blms/P357088	Nabu
blms/P357088	Tašmetu
blms/P357092	Anu
blms/P357092	Enlil
blms/P357092	Ea
blms/P357092	Sin
blms/P357092	Šamaš
blms/P357092	Adad
blms/P357092	Nusku
blms/P357098	Nunamnir
blms/P357098	Ea
blms/P357098	Nudimmud
blms/P357098	Nergal
blms/P357098	Girra
blms/P357098	Enlil
blms/P357098	Anunnaki
blms/P357098	Tašmetu
blms/P357119	Ninurta
blms/P357119	Ninnibruk
blms/P357129	Nergal
blms/P357129	Nusku
blms/P369081	Gula
blms/P369081	Inanak
blms/P369081	Ištar
blms/P369092	Nabu
blms/P369092	Gula
blms/P369129	Marduk
blms/P369129	Enbilulu
blms/P369129	Zarpanitu
blms/P369129	Nabu
blms/P369129	Tašmetu
blms/P369129	Madanu
blms/P369129	Anu
blms/P373799	Anu
blms/P373799	Šamaš
blms/P384933	Namtar
blms/P384933	Asakku
blms/P384934	Asalluhi
blms/P384934	Marduk
blms/P384934	Enbilulu
blms/P384936	Nusku
blms/P384936	Nabu
blms/P384936	Tašmetu
blms/P384939	Damgalnunak
blms/P384939	Panunanki
blms/P384939	Muzebašeʾa
