Source	Target	Weight
Abirillu	Aššur	2
Abirillu	Atar-quruma	3
Adad	Adad	17
Adad	Anu	2
Adad	Anzu	2
Adad	Aššur	7
Adad	Bel	3
Adad	Belet-ili	11
Adad	Buru	3
Adad	Dunga	2
Adad	Ea	7
Adad	Erra	12
Adad	Gula	2
Adad	Haya	2
Adad	Ištar	35
Adad	Kippat-mati	2
Adad	Kusu	2
Adad	Lumha	2
Adad	Marduk	29
Adad	Mullissu	2
Adad	Nabu	19
Adad	Nergal	22
Adad	Ninŋirsuk	2
Adad	Ninurta	9
Adad	Nusku	4
Adad	Palil	2
Adad	Šala	12
Adad	Šamaš	14
Adad	Sebettu	4
Adad	Šeruʾa	3
Adad	Sin	15
Adad	Tašmetu	5
Adad	Tiamat	2
Adad	Tišpak	2
Adad	Uraš	4
Adad	Zababa	3
Adad	Zarpanitu	5
Amanki	Damgalnunak	4
An	Anu	4
An	Šamaš	2
Anat-Baiti-ili	Kubaba	2
Annunitu	Anu	2
Annunitu	Enlil	2
Annunitu	Gibil	2
Annunitu	Marduk	2
Anšar	Asalluhi	2
Anšar	Tiamat	2
Antu	Adad	4
Antu	Belet-ili	2
Antu	Damkina	2
Antu	Ea	2
Antu	Enlil	8
Antu	Gula	2
Antu	Ištar	5
Antu	Kippat-mati	2
Antu	Mullissu	4
Antu	Šala	4
Anu	Adad	28
Anu	Antu	14
Anu	Anu	23
Anu	Anunnaki	7
Anu	Anzu	2
Anu	Asakku	14
Anu	Aššur	5
Anu	Bel	3
Anu	Belet-ili	11
Anu	Dagan	12
Anu	Damkina	3
Anu	Ea	43
Anu	Enlil	81
Anu	Erra	2
Anu	Gula	3
Anu	Haya	2
Anu	Igigi	6
Anu	Ištar	22
Anu	Kippat-mati	2
Anu	Marduk	11
Anu	Mullissu	5
Anu	Nabu	7
Anu	Namma	2
Anu	Namtar	6
Anu	Nergal	13
Anu	Ninmah	2
Anu	Ninurta	5
Anu	Niššiku	4
Anu	Šala	4
Anu	Šamaš	21
Anu	Sebettu	2
Anu	Sin	23
Anu	Uraš	2
Anunnaki	An	2
Anunnaki	Anu	8
Anunnaki	Anunnaki	7
Anunnaki	Bel	2
Anunnaki	Ea	3
Anunnaki	Enlil	7
Anunnaki	Igigi	3
Anunnaki	Nergal	7
Anunnaki	Nusku	5
Anzu	Anzu	23
Anzu	Dagan	2
Anzu	Duranki	9
Anzu	Ea	3
Anzu	Igigi	2
Anzu	Ninurta	9
Anzu	Niššiku	2
Anzu	Šarur	3
Asakku	Anu	16
Asakku	Asakku	15
Asakku	Marduk	3
Asalluhi	Anu	2
Asalluhi	Asalluhi	5
Asalluhi	Belet-ili	2
Asalluhi	Ea	3
Asalluhi	Enki	5
Asalluhi	Enlil	3
Asalluhi	Kugsud	2
Asalluhi	Kusu	2
Asalluhi	Manungal	2
Asalluhi	Marduk	12
Asalluhi	Panunanki	5
Asalluhi	Šamaš	2
Asalluhi	Sebettu	2
Asalluhi	Tutu	2
Asaralimnuna	Anu	2
Asaralimnuna	Ea	2
Asaralimnuna	Enlil	2
Asaralimnuna	Marduk	2
Asari	Asalluhi	2
Asari	Marduk	5
Asari	Tutu	2
Aššur	Adad	49
Aššur	Antu	5
Aššur	Anu	39
Aššur	Anunnaki	6
Aššur	Aššur	84
Aššur	Aya	4
Aššur	Bel	118
Aššur	Belet-ili	8
Aššur	Dagan	4
Aššur	Ea	10
Aššur	Enlil	52
Aššur	Gula	5
Aššur	Igigi	8
Aššur	Ištar	202
Aššur	Marduk	84
Aššur	Mullissu	60
Aššur	Nabu	167
Aššur	Nergal	52
Aššur	Ningal	7
Aššur	Ninurta	22
Aššur	Nusku	2
Aššur	Palil	3
Aššur	Šamaš	210
Aššur	Šeruʾa	10
Aššur	Sin	131
Aššur	Tašmetu	21
Aššur	Tiamat	9
Aššur	Uraš	2
Aššur	Zarpanitu	22
Atar-quruma	Aššur	2
Atar-samayin	Abirillu	3
Atar-samayin	Atar-quruma	3
Atar-samayin	Daya	3
Atar-samayin	Nuhaya	3
Atar-samayin	Ruldawu	3
Aya	Adad	5
Aya	Antu	4
Aya	Anu	4
Aya	Belet-ili	2
Aya	Enlil	2
Aya	Ištar	3
Aya	Kippat-mati	3
Aya	Šala	5
Aya	Zarpanitu	2
Baba	Nergal	3
Baba	Ninŋirsuk	2
Baiti-ili	Anat-Baiti-ili	3
Baiti-ili	Kubaba	2
Bel	Adad	2
Bel	Bel	10
Bel	Belet	3
Bel	Belet-Babili	2
Bel	Belet-balaṭi	3
Bel	Beltiya	14
Bel	Ea	4
Bel	Enlil	2
Bel	Ištar	107
Bel	Laṣ	5
Bel	Marduk	12
Bel	Mullissu	3
Bel	Nabu	258
Bel	Nanaya	2
Bel	Nergal	34
Bel	Ninurta	3
Bel	Nusku	2
Bel	Šamaš	25
Bel	Sin	11
Bel	Tašmetu	17
Bel	Zarpanitu	22
Belet	Ištar	7
Belet	Nabu	3
Belet	Nanaya	3
Belet	Tašmetu	3
Belet-Babili	Ea	2
Belet-Babili	Ištar	2
Belet-Babili	Madanu	2
Belet-ili	Aššur	3
Belet-ili	Dunga	3
Belet-ili	Egalkiba	3
Belet-ili	Haya	4
Belet-ili	Ištar	7
Belet-ili	Kakka	3
Belet-ili	Kusu	5
Belet-ili	Lumha	3
Beltiya	Belet-Babili	2
Beltiya	Ištar	4
Beltiya	Nabu	3
Beltiya	Tašmetu	3
Birdu	Birdu	5
Birdu	Enlil	2
Birdu	Ninurta	3
Dagan	Igigi	2
Dagan	Niššiku	3
Damgalnunak	Asalluhi	9
Damgalnunak	Damkina	2
Damgalnunak	Enki	3
Damgalnunak	Panunanki	6
Damkina	Adad	2
Damkina	Marduk	2
Damkina	Šala	2
Damkina	Sin	2
Damu	Damu	2
Daya	Abirillu	3
Daya	Atar-quruma	3
Daya	Nuhaya	3
Daya	Ruldawu	3
Dikudmah	Anunnaki	2
Dimme	Dimmea	3
Dimme	Lamaštu	3
Dimmea	Lamaštu	3
Dunga	Egalkiba	3
Duranki	Anzu	2
Duranki	Ea	3
Ea	Adad	14
Ea	An	2
